,syn_id,tag_id,synapse_correct
0,80663,1,True
1,263394,1,True
2,375043,1,True
3,2110187,1,True
4,2460011,1,True
5,2505082,1,True
6,2944064,1,True
7,3026580,1,True
8,3057634,1,True
9,3127907,3,False
10,3149588,1,True
11,3499212,1,True
12,3497420,3,False
13,1763448,1,True
14,2357129,1,True
15,2929296,1,True
16,3071057,1,True
17,3227471,1,True
18,3279266,1,True
19,509603,3,False
20,1101533,1,True
21,1615935,1,True
22,2386974,3,False
23,2924814,1,True
24,2945741,1,True
25,3554366,1,True
26,3540481,1,True
27,3531185,1,True
28,290545,1,True
29,392410,3,False
30,1765403,1,True
31,1878456,1,True
32,2465182,1,True
33,3096258,1,True
34,3172448,1,True
35,3134531,1,True
36,2353694,1,True
37,2277131,1,True
38,1442244,1,True
39,1414230,1,True
40,3314468,1,True
41,2928436,1,True
42,2406889,1,True
43,2349364,1,True
44,512971,3,False
45,1383188,1,True
46,2372903,1,True
47,3046705,1,True
48,2231275,1,True
49,2235543,1,True
50,3365917,1,True
51,2408144,1,True
52,3120940,3,False
53,3110388,1,True
54,634478,3,False
55,593414,1,True
56,1863598,1,True
57,1816700,1,True
58,1308119,1,True
59,1268555,1,True
60,3338224,1,True
61,449003,3,False
62,481516,1,True
63,1064391,1,True
64,3224537,1,True
65,3298164,1,True
66,3290387,1,True
67,3261822,1,True
68,2557505,1,True
69,3189455,1,True
70,3339071,1,True
71,2436665,1,True
72,2964919,1,True
73,2918670,1,True
74,2901346,1,True
75,2849745,1,True
76,1700290,1,True
77,1883058,1,True
78,1879395,1,True
79,1827366,3,False
80,1786787,1,True
81,980960,3,False
82,79972,3,False
83,1101887,1,True
84,2189500,1,True
85,3466180,1,True
86,2971295,1,True
87,3411100,3,False
88,2920921,1,True
89,2900111,1,True
90,2005882,1,True
91,2214569,1,True
92,2155815,1,True
93,2183971,1,True
94,2167517,1,True
95,1256327,1,True
96,1243750,1,True
97,740166,3,False
98,695816,1,True
99,663115,1,True
100,466713,1,True
101,281430,1,True
102,176062,3,False
103,3097916,1,True
104,3006619,1,True
105,1909812,1,True
106,1921426,1,True
107,1640982,1,True
108,2203121,1,True
109,171016,3,False
110,992355,3,False
111,762079,1,True
112,1153439,1,True
113,741203,1,True
114,3225439,1,True
115,3338787,1,True
116,1323775,1,True
117,1317967,1,True
118,242229,1,True
119,852837,1,True
120,197247,1,True
121,525353,1,True
122,978365,1,True
123,1085949,1,True
124,1299905,1,True
125,1328904,1,True
126,1374418,1,True
127,1592221,1,True
128,1749527,1,True
129,1796872,1,True
130,1886245,1,True
131,1984268,1,True
132,1943583,1,True
133,2141616,1,True
134,2124978,1,True
135,3016350,1,True
136,3322822,1,True
137,2944344,1,True
138,2074161,1,True
139,1103569,1,True
140,1464680,1,True
141,2472005,3,False
142,2968235,1,True
143,3102610,3,False
144,3287802,1,True
145,3320338,1,True
146,598748,1,True
147,129707,1,True
148,1169340,3,False
149,1879578,1,True
150,1248169,1,True
151,731449,1,True
152,353841,1,True
153,79286,1,True
154,3054880,1,True
155,1985895,1,True
156,1347455,1,True
157,3305332,1,True
158,1456506,1,True
159,456085,1,True
160,811015,1,True
161,1089449,1,True
162,1153583,1,True
163,1420872,1,True
164,2010108,1,True
165,2010963,1,True
166,2841144,1,True
167,2943642,1,True
168,3407731,3,False
169,3253496,3,False
170,481231,3,False
171,31654,3,False
172,19928,1,True
173,368165,1,True
174,1221917,1,True
175,1717711,1,True
176,2099313,1,True
177,2595360,3,False
178,176461,3,False
179,710153,3,False
180,850001,3,False
181,1557998,1,True
182,1335103,1,True
183,1725061,1,True
184,1874617,1,True
185,1930032,1,True
186,2983762,1,True
187,3121575,1,True
188,1293273,1,True
189,1425914,1,True
190,1408501,1,True
191,1914150,1,True
192,1329399,1,True
193,2572383,1,True
194,1878099,1,True
195,1519337,1,True
196,233619,1,True
197,1125642,1,True
198,1532555,1,True
199,2015795,1,True
200,2463010,1,True
201,3136555,1,True
202,3258003,1,True
203,3366778,1,True
204,1568133,1,True
205,2965348,1,True
206,79352,1,True
207,44437,1,True
208,1367240,1,True
209,972938,1,True
210,2432948,3,False
211,2967308,1,True
212,1629864,1,True
213,1876911,1,True
214,1194942,1,True
215,108555,1,True
216,418567,1,True
217,1969377,1,True
218,2214487,1,True
219,2570449,1,True
220,3457761,1,True
221,3043156,1,True
222,2585560,1,True
223,3360748,1,True
224,3178463,1,True
225,165545,3,False
226,885950,1,True
227,1322138,1,True
228,3306140,1,True
229,3387461,1,True
230,3527216,1,True
231,2990822,1,True
232,3214356,1,True
233,173182,1,True
234,618235,1,True
235,826716,1,True
236,1663393,1,True
237,2361848,1,True
238,3299054,1,True
239,2378275,1,True
240,1361071,1,True
241,1662782,1,True
242,2968507,1,True
243,820442,1,True
244,112646,1,True
245,902167,1,True
246,2882904,1,True
247,2071749,1,True
248,681024,1,True
249,46877,1,True
250,805745,1,True
251,993250,1,True
