,pt_root_id,nucleus_segid,cell_type,centroid_x,centroid_y,centroid_z,cell_subtype,analyzed,soma_x_nm,soma_y_nm,soma_z_nm
0,648518346349538237,7669.0,e,41760,60256,1702,pyramidal,1,167040,241024,68080
1,648518346349536816,1318.0,e,98128,39856,218,pyramidal,1,392512,159424,8720
2,648518346349539797,5441.0,e,51248,50608,86,pyramidal,1,204992,202432,3440
3,648518346349536744,4823.0,e,115392,47136,617,pyramidal,0,461568,188544,24680
4,648518346349536851,11847.0,e,104928,72496,1448,pyramidal,1,419712,289984,57920
5,648518346349522862,123.0,e,58128,35616,2059,pyramidal,1,232512,142464,82360
6,648518346349529341,6300.0,e,45856,56128,1002,pyramidal,0,183424,224512,40080
7,648518346349530521,13846.0,e,50128,75072,1916,pyramidal,0,200512,300288,76640
8,648518346341382533,13905.0,e,62128,75168,2128,pyramidal,0,248512,300672,85120
9,648518346349492130,375.0,e,72944,35952,2038,pyramidal,1,291776,143808,81520
10,648518346349531834,10151.0,e,73744,68480,1228,pyramidal,1,294976,273920,49120
11,648518346349537400,5826.0,e,47648,50768,1370,pyramidal,0,190592,203072,54800
12,648518346349528749,9295.0,e,41840,66928,111,pyramidal,0,167360,267712,4440
13,648518346349532050,9161.0,e,118240,64352,2044,pyramidal,1,472960,257408,81760
14,648518346349538475,9662.0,e,55184,68480,664,pyramidal,1,220736,273920,26560
15,648518346349538733,10124.0,e,48864,66896,2058,pyramidal,1,195456,267584,82320
16,648518346349530766,10978.0,e,47248,72016,820,pyramidal,0,188992,288064,32800
17,648518346349537071,4887.0,e,47840,46080,1999,pyramidal,1,191360,184320,79960
18,648518346349528913,8450.0,e,46096,64320,500,pyramidal,0,184384,257280,20000
19,648518346349535286,13776.0,e,48048,74192,1520,pyramidal,1,192192,296768,60800
20,648518346349523129,15592.0,e,110640,78688,1695,pyramidal,1,442560,314752,67800
21,648518346349533252,11765.0,e,43968,72624,1439,pyramidal,1,175872,290496,57560
22,648518346349524933,9035.0,e,50128,64192,1379,pyramidal,1,200512,256768,55160
